车名,价格,里程,发布时间,转手次数,挡位,排量,驱动类型,环保标准,发动机,车型,燃油类型,颜色
凯迪拉克CT5 2020款 改款 28T 铂金运动版,"17.68, , ",4.1,2021年4月,3,自动,2,后驱,国VI,2,中型车,95,黑色
宝马X5(进口) 2021款 xDrive30i M运动套装,"47.98, , ",5,2021年9月,0,自动,2,四驱,国VI,2,中大型SUV,95,白色
一汽-大众CC 2019款 380TSI 魅颜版 国V,"12.88, , ",6.8,2018年12月,0,自动,2,前驱,国V,2,中型车,95,银/灰色
星瑞 2023款 2.0TD 豪华型,"8.68, , ",1.5,2022年12月,0,自动,2,前驱,国VI,2,紧凑型车,95,银/灰色
风光580 2022款 1.5T 自动静享型,"9.98, , ",0.01,未上牌,0,自动,1.5,前驱,国VI,1.5,中型SUV,92,银/灰色
缤越 2022款 缤越COOL 1.5TD DCT Battle版,"7.95, , ",1.3,2022年12月,1,自动,1.5,前驱,国VI,1.5,小型SUV,92,蓝色
帕萨特 2023款 330TSI 精英版,"17.38, , ",0.9,2023年9月,0,自动,2,前驱,国VI,2,中型车,95,黑色
迈锐宝XL 2020款 Redline 550T 自动锐动版,"9.68, , ",5,2020年12月,0,自动,2,前驱,国VI,2,中型车,95,黑色
奔驰A级 2019款 A 180 L,"11.28, , ",11.8,2019年7月,2,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
迈腾 2018款 330TSI DSG 领先型,"10.38, , ",8.8,2018年5月,0,自动,1.8,前驱,国V,1.8,中型车,95,黑色
缤瑞 2021款 1.4T CVT亚运版,"4.48, , ",3,2021年10月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,白色
领克03 2019款 2.0TD 自动劲版,"9.50, , ",3,2020年1月,0,自动,2,前驱,国VI,2,紧凑型车,95,黑色
宝马X3 2020款 xDrive25i M运动套装,"24.88, , ",4.7,2019年12月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
缤瑞 2018款 14T CVT缤致版,"4.98, , ",5,2019年12月,0,自动,1.4,前驱,国V,1.4,紧凑型车,92,白色
凌渡 2017款 230TSI DSG风尚版,"6.98, , ",7,2017年12月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
帕萨特 2022款 330TSI 豪华版,"16.98, , ",2.5,2021年11月,0,自动,2,前驱,国VI,2,中型车,95,香槟/棕色
宝马5系 2021款 530Li 领先型 豪华套装,"38.18, , ",3,2022年1月,1,自动,2,后驱,国VI,2,中大型车,95,白色
马自达3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,"5.90, , ",5,2018年4月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,红/紫色
胜达 2019款 380 TGDi GLS 自动两驱豪华版 国V,"13.38, , ",8.42,2020年1月,2,自动,2,前驱,国V,2,中型SUV,92,黑色
甲壳虫 2016款 180TSI Club版,"10.80, , ",4,2016年6月,1,自动,1.2,前驱,国V,1.2,紧凑型车,95,红/紫色
思域 2019款 220TURBO 手动劲控版 国V,"8.28, , ",5,2019年12月,0,手动,1.5,前驱,国V,1.5,紧凑型车,92,白色
宝马X5(进口) 2014款 xDrive35i 领先型,"27.88, , ",10,2015年10月,1,自动,3,四驱,欧VI,3,中大型SUV,95,白色
凯迪拉克CT4 2020款 28T 时尚型,"13.00, , ",4,2021年3月,1,自动,2,后驱,国VI,2,中型车,95,蓝色
帕萨特 2017款 330TSI DSG尊荣版,"10.28, , ",7,2018年10月,0,自动,1.8,前驱,国V,1.8,中型车,95,黑色
途岳 2021款 280TSI 两驱豪华版PLUS,"14.38, , ",2.5,2022年1月,1,自动,1.4,前驱,国VI,1.4,紧凑型SUV,95,白色
威驰 2019款 1.5L CVT智行版,"6.20, , ",5.8,2019年9月,0,自动,1.5,前驱,国VI,1.5,小型车,92,白色
奥迪Q5L 2020款 40 TFSI 荣享时尚型,"25.88, , ",7.8,2021年4月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
", 奥迪Q5L 2020款 40 TFSI 荣享时尚型","23.98, , ",5.8,2020年6月,,", ",", ",,", ",,,,
", YARiS L 致享 2020款 1.5L CVT领先版","5.88, , ",5.01,2020年7月,,", ",", ",,", ",,,,
探险者(进口) 2016款 2.3T 风尚版,"11.58, , ",9.3,2016年5月,0,自动,2.3,四驱,国V,2.3,中大型SUV,92,白色
MG6 2021款 Pro 1.5T 自动Trophy智驾旗舰版,"8.28, , ",2.8,2022年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黄/橙色
汉腾X5 2018款 1.5T CVT豪华版,"2.58, , ",5.88,2018年3月,0,自动,1.5,前驱,国V,1.5,紧凑型SUV,92,白色
", 凯迪拉克XT5 2020款 改款 28T 四驱豪华型","18.88, , ",6,2021年7月,,", ",", ",,", ",,,,
悦翔 2019款 1.5L DCT豪华型 国VI,"3.88, , ",2,2020年11月,1,自动,1.5,前驱,国VI,1.5,小型车,92,白色
艾瑞泽GX 2019款 Pro 1.5T CVT型色版 国VI,"3.88, , ",6.1,2019年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
凌渡 2019款 280TSI DSG舒适版 国VI,"8.59, , ",3.4,2019年3月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
宝马1系 2021款 120i M运动曜夜版,"12.88, , ",5,2021年2月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,白色
埃尔法 2018款 3.5L 尊贵版,,6.4,2020年6月,1,自动,3.5,前驱,国V,3.5,,95,黑色
", 埃尔法 2015款 3.5L 尊贵版",,7,2017年1月,,", ",", ",,", ",,,,
宝马4系 2016款 420i 敞篷设计套装型,"20.68, , ",10,2018年2月,2,自动,2,后驱,国V,2,中型车,95,白色
宝马5系 2018款 528Li 上市特别版,"21.38, , ",7,2017年9月,0,自动,2,后驱,国V,2,中大型车,95,黑色
红旗H5 2019款 30TD 型动版,"6.88, , ",4.3,2020年6月,0,自动,1.8,前驱,国VI,1.8,中型车,92,黑色
奥迪Q7 2016款 40 TFSI S line运动型,"28.80, , ",16.1,2017年8月,0,自动,2,四驱,国V,2,中大型SUV,95,蓝色
奔腾T77 2019款 230 TID 自动豪华型 国V,"4.68, , ",4.68,2019年5月,0,自动,1.2,前驱,国V,1.2,紧凑型SUV,92,白色
起亚K3 2021款 1.5L CVT豪华版,"7.58, , ",3,2022年5月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
", 途观L 2020款 330TSI 自动两驱全景舒适版 国VI","13.58, , ",7.4,2020年5月,,", ",", ",,", ",,,,
博越 2022款 1.8TD DCT智雅型,"8.28, , ",3.1,2022年5月,0,自动,1.8,前驱,国VI,1.8,紧凑型SUV,92,香槟/棕色
奔驰A级 2021款 A 180 L 运动轿车,"14.38, , ",4,2021年2月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
轩逸 2021款 经典 1.6XE CVT舒适版,"6.08, , ",5,2020年10月,1,自动,1.6,前驱,国VI,1.6,紧凑型车,92,白色
长安欧尚X7 PLUS 2022款 1.5T 蓝鲸版自动豪华型,"7.88, , ",4,2022年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,银/灰色
汉兰达 2021款 2.0T 两驱精英版 5座,"17.80, , ",8,2021年8月,1,自动,2,前驱,国VI,2,中型SUV,95,白色
桑塔纳 2015款 1.6L 手动风尚版,"3.00, , ",6.96,2017年5月,1,手动,1.6,前驱,国IV(国V),1.6,紧凑型车,92,白色
别克GL8 2021款 陆上公务舱 652T 尊贵型,"20.80, , ",4,2021年4月,0,自动,2,前驱,国VI,2,,95,香槟/棕色
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,"14.98, , ",13.5,2018年8月,0,自动,2,前驱,国V,2,中型车,95,白色
捷达VA3 2019款 1.5L 手动进取版,"5.38, , ",3,2019年12月,1,手动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
宝马3系 2022款 320Li M运动套装,"23.58, , ",2,2021年8月,0,自动,2,后驱,国VI,2,中型车,95,白色
宝马3系 2021款 改款 325Li M运动套装,"25.68, , ",0.5,2021年6月,0,自动,2,后驱,国VI,2,中型车,95,蓝色
博越 2020款 1.8TD DCT两驱智联型4G互联版,"6.88, , ",4.1,2020年10月,0,自动,1.8,前驱,国VI,1.8,紧凑型SUV,92,银/灰色
", 荣威iMAX8 2021款 400TGI Supreme系列尊荣版","16.80, , ",5.74,2021年7月,,", ",", ",,", ",,,,
一汽-大众CC 2019款 330TSI 魅颜版 国V,"13.48, , ",4.2,2019年4月,0,自动,2,前驱,国V,2,中型车,95,白色
英仕派 2019款 260TURBO 精致版 国VI,"14.08, , ",5,2021年3月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
凯美瑞 2021款 2.0G 豪华版,"16.38, , ",2,2022年4月,0,自动,2,前驱,国VI,2,中型车,92,白色
Cayenne 2014款 Cayenne Platinum Edition 3.0T,"24.80, , ",16,2014年3月,0,自动,3,四驱,欧IV,3,中大型SUV,95,香槟/棕色
奔驰A级 2020款 改款二 A 180 L 运动轿车,"14.28, , ",6,2020年9月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
缤瑞 2020款 200T DCT豪华型,"4.38, , ",3.6,2020年4月,0,自动,1,前驱,国VI,1,紧凑型车,92,白色
长安欧尚X5 2021款 1.5T DCT旗舰型,"6.38, , ",2.1,2021年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,蓝色
猎豹CS10 2017款 1.5T 手动尊贵型,"2.80, , ",13.2,2016年12月,0,手动,1.5,前驱,国V,1.5,紧凑型SUV,92,蓝色
北京BJ40 2019款 PLUS 2.3T 自动四驱尊享版 国VI,"10.88, , ",8,2020年6月,0,自动,2.3,四驱,国VI,2.3,紧凑型SUV,95,黑色
宝马7系 2021款 740Li 领先型 M运动套装,"64.28, , ",1.7,2021年10月,1,自动,3,后驱,国VI,3,大型车,95,银/灰色
吉利EC8 2015款 2.0L 手动进取型,"0.80, , ",7.44,2015年3月,0,手动,2,前驱,国IV,2,中型车,92,香槟/棕色
领克03 2019款 03+ 2.0TD 自动驭风版,"10.38, , ",3.2,2020年3月,0,自动,2,四驱,国VI,2,紧凑型车,95,黄/橙色
奥迪A3 2022款 A3L Limousine 35 TFSI 豪华运动型,"14.88, , ",3,2022年5月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
奔驰S级 2022款 改款 S 450 L 4MATIC,"97.80, , ",2.5,2022年11月,1,自动,2.5,四驱,国VI,2.5,大型车,95,黑色
T-ROC探歌 2019款 230TSI DSG两驱进取型 国V,"8.80, , ",5,2020年1月,1,自动,1.4,前驱,国V,1.4,紧凑型SUV,95,白色
MG5 2021款 改款 300TGI DCT青奢旗舰版,"4.68, , ",3,2021年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
凌派 2019款 180Turbo CVT豪华版 国VI,"5.68, , ",3.5,2019年12月,0,自动,1,前驱,国VI,1,紧凑型车,92,白色
库里南 2018款 四座版,"668.00, , ",2,2023年1月,0,自动,6.7,四驱,国VI,6.7,大型SUV,95,白色
迈腾 2020款 330TSI DSG 领先型,"15.37, , ",5.9,2021年2月,0,自动,2,前驱,国VI,2,中型车,95,香槟/棕色
宝马1系 2021款 改款 120i M运动曜夜版,"12.88, , ",2.5,2021年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,白色
宝马X3 2019款 xDrive25i M运动套装,"22.68, , ",11,2019年6月,1,自动,2,四驱,国VI,2,中型SUV,95,香槟/棕色
", 捷豹XE 2015款 3.0 SC 340PS S","16.88, , ",7.3,2016年1月,,", ",", ",,", ",,,,
奥迪A6L 2018款 30周年年型 TFSI 进取型,"19.60, , ",6.5,2018年3月,0,自动,1.8,前驱,国V,1.8,中大型车,95,黑色
凯迪拉克XTS 2018款 28T 技术型,"13.68, , ",6,2019年4月,2,自动,2,前驱,国V,2,中大型车,95,黑色
领克03 2021款 2.0TD 自动劲 冠军版,"8.88, , ",2,2021年6月,1,自动,2,前驱,国VI,2,紧凑型车,95,银/灰色
博瑞 2018款 1.5T MHEV 耀智版,"6.28, , ",4.28,2019年3月,0,自动,1.5,前驱,国V,1.5,中型车,95,红/紫色
逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵型,"4.88, , ",4.3,2021年11月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,白色
凌渡 2017款 280TSI DSG舒适版,"7.38, , ",7.8,2018年1月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
林肯MKZ 2017款 2.0T 尊雅版,"9.28, , ",7.1,2017年6月,0,自动,2,前驱,国V,2,中型车,92,白色
传祺GS4 2018款 235T 自动两驱豪华智联版,"5.20, , ",7.72,2018年11月,0,自动,1.5,前驱,国V,1.5,紧凑型SUV,92,红/紫色
长安CS55 2018款 1.5T 自动炫色型 国V,"5.68, , ",2.75,2019年2月,0,自动,1.5,前驱,国V,1.5,紧凑型SUV,92,红/紫色
奔驰A级 2020款 A 200 L 运动轿车,"13.28, , ",6.8,2019年12月,1,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
帕萨特 2022款 330TSI 星空豪华版,"16.38, , ",5,2022年1月,0,自动,2,前驱,国VI,2,中型车,95,黑色
哈弗F7 2021款 1.5T 两驱i型,"7.80, , ",3,2021年6月,1,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,黑色
奕炫 2020款 230T 自动炫悦赛道版,"4.98, , ",3.8,2021年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
凌渡 2019款 230TSI DSG视野版 国VI,"8.88, , ",5,2020年10月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,红/紫色
帕萨特 2019款 280TSI 精英版 国VI,"10.68, , ",4.3,2019年6月,0,自动,1.4,前驱,国VI,1.4,中型车,95,香槟/棕色
英朗 2019款 18T 自动互联精英型 国VI,"4.68, , ",4.2,2019年12月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,92,白色
朗逸 2018款 280TSI DSG舒适版 国V,"8.80, , ",6.8,2019年8月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,香槟/棕色
博越 2022款 博越X 1.8TD DCT智联型,"8.88, , ",3,2021年10月,0,自动,1.8,前驱,国VI,1.8,紧凑型SUV,92,黑色
凌渡 2018款 280TSI DSG舒适版,"8.78, , ",8.3,2018年7月,1,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
奥迪A3 2019款 Sportback 35 TFSI 风尚型 国VI,"10.28, , ",3.5,2019年7月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,红/紫色
奔驰GLC轿跑 2020款 GLC 260 4MATIC 轿跑SUV,"33.80, , ",1.2,2020年12月,0,自动,2,四驱,国VI,2,中型SUV,95,红/紫色
蒙迪欧 2020款 EcoBoost 180 时尚型,"10.88, , ",7.3,2020年11月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
牧马人 2019款 2.0T Sahara 四门版 国VI,"31.60, , ",7,2020年5月,0,自动,2,四驱,国VI,2,中型SUV,95,红/紫色
奔驰E级(进口) 2019款 E 200 轿跑车,"29.80, , ",3.1,2019年9月,1,自动,2,后驱,欧V,2,中大型车,95,白色
哈弗大狗 2021款 1.5T DCT两驱拉布拉多版,"9.48, , ",4,2022年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,黑色
奥迪A3 2021款 Sportback 35 TFSI 进取致雅型,"13.68, , ",4.4,2022年1月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
星瑞 2021款 2.0TD 尊贵型,"6.98, , ",2,2020年12月,0,自动,2,前驱,国VI,2,紧凑型车,95,白色
凌渡 2022款 凌渡L 280TSI DSG炫辣版,"13.58, , ",0.7,2022年10月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,绿色
科鲁泽 2021款 320 自动悦享天窗版,"5.58, , ",4.8,2021年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
朗逸 2019款 280TSI DSG舒适版 国VI,"9.08, , ",4,2020年1月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,香槟/棕色
朗逸 2021款 1.5L 自动舒适版,"6.98, , ",8,2021年4月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,香槟/棕色
宝马1系 2020款 120i M运动套装,"13.38, , ",4.45,2020年9月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,95,白色
思域 2019款 220TURBO CVT燃动版 国VI,"8.88, , ",4.3,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
吉利ICON 2021款 1.5TD 炽爱,"7.68, , ",1.4,2022年9月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,银/灰色
奥迪A6L 2021款 40 TFSI 豪华致雅型,"29.98, , ",4.8,2021年8月,0,自动,2,前驱,国VI,2,中大型车,95,黑色
奔腾B70 2021款 1.5T 自动乐享型,"5.78, , ",1.2,2022年9月,0,自动,1.5,前驱,国VI,1.5,中型车,92,黑色
奔驰GLA 2019款 GLA 220 4MATIC 运动型,"16.88, , ",3.6,2019年10月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,蓝色
标致408 2022款 1.6T 逐梦版,"9.15, , ",2,2023年6月,1,自动,1.6,前驱,国VI,1.6,紧凑型车,92,银/灰色
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,"15.38, , ",5.5,2018年5月,0,自动,2,前驱,国V,2,中型车,95,银/灰色
红旗HS5 2019款 2.0T 智联旗享版,"9.80, , ",5,2020年1月,0,自动,2,前驱,国VI,2,中型SUV,95,银/灰色
瑞虎8 PLUS 2021款 290TGDI DCT豪行版,"7.38, , ",5.6,2021年5月,0,自动,1.6,前驱,国VI,1.6,中型SUV,92,白色
速腾 2018款 1.6L 自动时尚型,"6.88, , ",4,2019年8月,1,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
捷豹XFL 2018款 XFL 2.0T 200PS 精英版,"16.80, , ",7.5,2018年1月,0,自动,2,后驱,国V,2,中大型车,95,红/紫色
奥德赛 2018款 2.4L 智享版,"16.58, , ",7.6,2019年12月,1,自动,2.4,前驱,国V,2.4,,92,蓝色
荣威i5 2020款 1.5L 自动4G互联领豪旗舰版,"5.68, , ",4,2021年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
哈弗H2s 2018款 蓝标 1.5T 双离合豪华型,"4.88, , ",5.8,2019年3月,0,自动,1.5,前驱,国V,1.5,小型SUV,92,白色
蒙迪欧 2013款 1.5L GTDi180时尚型,"5.38, , ",8,2014年6月,0,自动,1.5,前驱,国IV(国V),1.5,中型车,92,白色
哈弗大狗 2021款 1.5T DCT两驱边牧-旺财版,"9.68, , ",3.7,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,红/紫色
威霆 2023款 2.0T 精英版 7座,"39.68, , ",1.2,2023年9月,0,自动,2,后驱,国VI,2,,95,黑色
迈锐宝XL 2019款 Redline 550T 自动锐动版,"8.08, , ",3.8,2019年4月,0,自动,2,前驱,国VI,2,中型车,95,白色
嘉悦A5 2020款 1.5T CVT梦想型,"3.96, , ",2.6,2020年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
福睿斯 2017款 1.5L 自动舒适型,"3.98, , ",7,2017年12月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
影豹 2021款 270T DCT J16苏神限量版,"8.18, , ",3.6,2022年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,绿色
君越 2019款 28T 豪华型,"11.68, , ",7,2019年12月,1,自动,2,前驱,国VI,2,中型车,95,黑色
星瑞 2021款 2.0TD 尊贵型,"8.68, , ",2.6,2021年12月,0,自动,2,前驱,国VI,2,紧凑型车,95,白色
领克05 2020款 2.0TD 两驱耀Halo,"12.98, , ",5,2021年5月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,黑色
奔驰C级 2019款 C 260 运动版,"23.80, , ",5,2019年6月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
福睿斯 2015款 1.5L 自动时尚型,"3.55, , ",8,2016年3月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
途观 2012款 1.8TSI 自动四驱菁英版,"3.60, , ",9.9,2012年11月,2,自动,1.8,四驱,国IV(国V),1.8,紧凑型SUV,95,白色
宝马3系 2021款 改款 320Li M运动套装,"24.80, , ",6,2021年5月,1,自动,2,后驱,国VI,2,中型车,95,黑色
", 宝马X1 2019款 sDrive18Li 尊享型","13.88, , ",6.2,2019年9月,,", ",", ",,", ",,,,
本田UR-V 2020款 370TURBO 四驱尊享版,"22.68, , ",3.2,2023年3月,1,自动,2,四驱,国VI,2,中型SUV,92,白色
宝沃BX5 2020款 20TGDI 自动两驱先锋型,"3.98, , ",6.8,2019年10月,0,自动,1.4,前驱,国VI,1.4,紧凑型SUV,95,香槟/棕色
长安UNI-V 2022款 1.5T 运动版,"10.68, , ",2,2023年2月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
朗逸 2022款 280TSI DSG舒适版,"11.68, , ",0.01,2024年1月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
凌渡 2019款 280TSI DSG豪华版 国V,"9.70, , ",6,2019年4月,1,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
奔驰E级 2020款 改款 E 300 L 殊享版,"29.88, , ",6,2020年5月,1,自动,2,后驱,国VI,2,中大型车,95,黑色
凌渡 2017款 280TSI DSG舒适版,"7.58, , ",10,2016年12月,3,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
MINI COUNTRYMAN 2021款 2.0T COOPER S ALL4,"22.68, , ",3.4,2021年7月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,蓝色
宝马3系 2022款 改款 325i M运动套装,"20.88, , ",9.9,2022年2月,1,自动,2,后驱,国VI,2,中型车,95,蓝色
艾瑞泽5 PLUS 2021款 小AI 1.5T CVT智PLUS,"5.28, , ",2,2021年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,蓝色
宋PLUS 2020款 1.5T 自动旗舰型,"7.38, , ",3,2020年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
长安UNI-T 2021款 1.5T 卓越型,"7.38, , ",1.8,2021年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,黑色
帕萨特 2019款 280TSI 精英版 国VI,"10.88, , ",5.68,2019年9月,0,自动,1.4,前驱,国VI,1.4,中型车,95,黑色
朗逸 2017款 1.6L 自动风尚版,"5.50, , ",12,2018年2月,1,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
雷凌 2021款 TNGA 1.5L CVT进取版,"6.38, , ",2.8,2021年9月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
凌渡 2019款 280TSI DSG舒适版 国VI,"7.96, , ",3.8,2018年12月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
思域 2021款 HATCHBACK 220TURBO CVT潮酷控,"9.38, , ",6,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
红旗H5 2020款 1.8T 自动智联旗韵版,"7.38, , ",4.8,2020年12月,0,自动,1.8,前驱,国VI,1.8,中型车,95,黑色
奔腾B70 2023款 第三代 1.5T 自动畅享型,"7.98, , ",1.2,2023年2月,0,自动,1.5,前驱,国VI,1.5,中型车,92,黑色
领克03 2023款 1.5TD DCT劲Pro,"10.98, , ",0.8,2023年2月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黑色
领克03 2020款 03+ 2.0TD 自动驭风版,"11.68, , ",3.2,2020年10月,0,自动,2,四驱,国VI,2,紧凑型车,95,黄/橙色
君越 2019款 28T 豪华型,"12.88, , ",6.3,2020年3月,0,自动,2,前驱,国VI,2,中型车,95,黑色
宋Pro 2019款 1.5T 自动精英型,"5.98, , ",3,2020年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
长安UNI-T 2020款 1.5T 旗舰型,"7.28, , ",3.3,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,银/灰色
奔驰C级 2020款 改款 C 200 L 时尚型,"19.98, , ",7.2,2020年8月,0,自动,1.5,后驱,国VI,1.5,中型车,95,蓝色
奥迪A4L 2019款 40 TFSI 时尚型 国VI,"14.98, , ",14.6,2019年5月,0,自动,2,前驱,国VI,2,中型车,95,白色
宝马2系旅行车(进口) 2015款 218i 领先型,"9.88, , ",10.8,2015年8月,0,自动,1.5,前驱,国V,1.5,紧凑型车,95,蓝色
", 逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT旗舰型","6.38, , ",5.1,2022年1月,,", ",", ",,", ",,,,
捷达 2015款 1.6L 自动时尚型,"3.38, , ",9,2015年5月,1,自动,1.6,前驱,国IV(国V),1.6,紧凑型车,92,黑色
思域 2016款 220TURBO CVT豪华版,"7.98, , ",8.9,2018年1月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,黑色
奔腾B70 2023款 第三代 1.5T 自动畅享型,"7.28, , ",1.1,2023年1月,0,自动,1.5,前驱,国VI,1.5,中型车,92,黑色
奥迪A6L 2020款 40 TFSI 豪华动感型,"27.80, , ",9,2020年11月,0,自动,2,前驱,国VI,2,中大型车,95,黑色
红旗H5 2019款 30TD 型动版,"5.98, , ",5.3,2019年10月,0,自动,1.8,前驱,国VI,1.8,中型车,92,黑色
红旗H5 2022款 经典款 1.5T DCT旗悦版,"9.26, , ",2.9,2022年8月,1,自动,1.5,前驱,国VI,1.5,中型车,95,黑色
领克03 2019款 03+ 2.0TD 自动驭风版,"10.19, , ",3.1,2019年9月,0,自动,2,四驱,国VI,2,紧凑型车,95,黄/橙色
科鲁泽 2019款 RS 330T 自动痛快版 国VI,"4.38, , ",4.8,2019年6月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,92,白色
红旗H5 2023款 1.5T DCT智联旗韵版,"11.88, , ",0.9,2023年1月,0,自动,1.5,前驱,国VI,1.5,中型车,95,黑色
星瑞 2023款 2.0TD 只此青绿版,"9.38, , ",1.2,2023年10月,0,自动,2,前驱,国VI,2,紧凑型车,95,绿色
威霆 2021款 2.0T 商务版 7座,"29.88, , ",7,2021年9月,1,自动,2,后驱,国VI,2,,95,黑色
伊兰特 2021款 1.5L CVT GLX精英版,"6.58, , ",4.3,2021年3月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,蓝色
MG5 2021款 180DVVT CVT青春豪华版,"4.80, , ",2.8,2021年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
林肯Z 2022款 i酷 尊尚版,"18.98, , ",0.5,2023年10月,1,自动,2,前驱,国VI,2,中型车,95,白色
雅阁 2018款 260TURBO 精英版 国V,"12.80, , ",5.3,2018年10月,0,自动,1.5,前驱,国V,1.5,中型车,92,蓝色
红旗H5 2023款 2.0T 自动智联旗畅版,"13.68, , ",1.9,2023年2月,0,自动,2,前驱,国VI,2,中型车,95,黑色
红旗H5 2023款 2.0T 自动智联旗领版,"14.38, , ",1.2,2023年4月,0,自动,2,前驱,国VI,2,中型车,95,黑色
别克GL8 2018款 ES 28T 舒适型 国VI,"23.68, , ",5,2020年2月,0,自动,2,前驱,国VI,2,,95,红/紫色
红旗H5 2023款 2.0T 自动智联旗享版,"11.68, , ",1.8,2022年12月,0,自动,2,前驱,国VI,2,中型车,95,黑色
逸达 2023款 蓝鲸NE 1.5T GDI DCT尊贵型,"6.26, , ",2,2023年5月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,绿色
影豹 2023款 270T DCT J16版,"8.98, , ",1.3,2023年4月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
福克斯 2018款 两厢经典 EcoBoost 180 自动运动型,"6.88, , ",6,2018年6月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
